Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
1949/1950,New York Knicks,,40,28,40,28,2.12,0.41,2.53,,,,,.449,,.428,.353,,,.320,,,,
1949/1950,Washington Capitols,,32,36,31,37,-0.94,0.66,-0.28,,,,,.384,,.405,.330,,,.287,,,,
1949/1950,Waterloo Hawks,,19,43,17,45,-5.53,-0.43,-5.96,,,,,.408,,.425,.356,,,.291,,,,
1949/1950,Tri-Cities Blackhawks,,29,35,30,34,-0.59,-0.84,-1.43,,,,,.418,,.407,.330,,,.304,,,,
1949/1950,Syracuse Nationals,,51,13,51,13,8.14,-1.70,6.48,,,,,.454,,.429,.354,,,.321,,,,
1949/1950,St. Louis Bombers,,26,42,25,43,-2.82,0.81,-2.01,,,,,.423,,.415,.342,,,.300,,,,
1949/1950,Sheboygan Red Skins,,22,40,18,44,-5.40,-0.44,-5.85,,,,,.466,,.422,.344,,,.329,,,,
1949/1950,Rochester Royals,,51,17,54,14,7.76,-0.05,7.72,,,,,.442,,.447,.373,,,.322,,,,
1949/1950,Philadelphia Warriors,,26,42,24,44,-3.10,0.84,-2.27,,,,,.357,,.377,.312,,,.250,,,,
1949/1950,Anderson Packers,,37,27,42,22,3.80,-1.38,2.42,,,,,.375,,.384,.311,,,.272,,,,
1949/1950,Minneapolis Lakers,,51,17,55,13,8.34,-0.09,8.25,,,,,.333,,.427,.367,,,.247,,,,
1949/1950,Indianapolis Olympians,,39,25,42,22,3.70,-1.15,2.59,,,,,.406,,.441,.375,,,.289,,,,
1949/1950,Fort Wayne Pistons,,40,28,38,30,1.37,0.47,1.84,,,,,.395,,.389,.318,,,.277,,,,
1949/1950,Denver Nuggets,,11,51,8,54,-11.50,0.18,-11.31,,,,,.386,,.397,.334,,,.261,,,,
1949/1950,Chicago Stags,,40,28,39,29,1.60,0.45,2.06,,,,,.328,,.397,.340,,,.228,,,,
1949/1950,Boston Celtics,,22,46,27,41,-2.50,0.79,-1.73,,,,,.376,,.404,.338,,,.266,,,,
1949/1950,Baltimore Bullets,,25,43,18,50,-5.59,1.04,-4.55,,,,,.385,,.385,.310,,,.281,,,,
1959/1960,Boston Celtics,27.5,59,16,54,21,8.32,-0.70,7.62,91.0,84.9,+6.1,136.3,.281,,.463,.417,,,.206,,,,
1959/1960,St. Louis Hawks,27.6,46,29,44,31,2.71,-0.93,1.77,94.0,91.8,+2.2,120.0,.381,,.481,.419,,,.283,,,,
1959/1960,Syracuse Nationals,27.0,45,30,43,32,2.63,0.15,2.77,93.1,91.0,+2.1,127.2,.323,,.474,.414,,,.256,,,,
1959/1960,Philadelphia Warriors,26.2,49,26,43,32,2.63,0.15,2.77,88.7,86.8,+1.9,133.3,.310,,.451,.409,,,.207,,,,
1959/1960,New York Knicks,26.4,27,48,32,43,-2.31,0.87,-1.43,93.0,94.9,-1.9,125.9,.311,,.475,.421,,,.238,,,,
1959/1960,Detroit Pistons,27.1,30,45,30,45,-3.43,-0.03,-3.45,89.8,92.6,-2.8,123.1,.359,,.456,.397,,,.262,,,,
1959/1960,Minneapolis Lakers,25.5,25,50,28,47,-4.23,0.09,-4.14,87.7,91.2,-3.5,121.2,.341,,.444,.386,,,.249,,,,
1959/1960,Cincinnati Royals,25.0,19,56,24,51,-6.32,0.40,-5.92,91.3,96.5,-5.2,121.6,.343,,.465,.412,,,.246,,,,
1969/1970,New York Knicks,27.0,60,22,62,20,9.09,-0.66,8.42,100.3,92.4,+7.9,114.3,.311,,.520,.477,,,.228,,,,
1969/1970,Milwaukee Bucks,24.9,56,26,52,30,4.61,-0.36,4.25,102.1,98.1,+4.0,115.8,.322,,.531,.488,,,.236,,,,
1969/1970,Philadelphia 76ers,28.1,42,40,49,33,3.41,-0.10,3.32,100.5,97.7,+2.8,120.9,.346,,.520,.469,,,.260,,,,
1969/1970,Baltimore Bullets,26.4,50,32,46,36,2.12,-0.19,1.94,98.7,96.9,+1.8,121.0,.310,,.509,.458,,,.239,,,,
1969/1970,Los Angeles Lakers,27.7,46,36,46,36,1.99,-0.23,1.76,99.1,97.4,+1.7,113.9,.332,,.512,.461,,,.250,,,,
1969/1970,Atlanta Hawks,27.3,48,34,42,40,0.41,-0.10,0.31,102.3,101.9,+0.4,114.4,.338,,.531,.483,,,.254,,,,
1969/1970,Chicago Bulls,26.3,39,43,37,45,-1.76,0.04,-1.71,97.6,99.1,-1.5,116.5,.352,,.502,.444,,,.272,,,,
1969/1970,Phoenix Suns,25.4,39,43,37,45,-1.72,0.06,-1.66,101.6,103.1,-1.5,116.7,.416,,.526,.468,,,.310,,,,
1969/1970,Boston Celtics,28.4,34,48,36,46,-1.85,0.26,-1.60,97.3,98.9,-1.6,117.5,.329,,.500,.443,,,.259,,,,
1969/1970,Seattle SuperSonics,27.6,36,46,35,47,-2.52,0.09,-2.43,100.0,102.1,-2.1,116.4,.355,,.516,.462,,,.270,,,,
1969/1970,Cincinnati Royals,27.6,36,46,34,48,-2.95,0.41,-2.55,98.0,100.4,-2.4,118.5,.343,,.505,.455,,,.252,,,,
1969/1970,San Diego Rockets,25.3,27,55,34,48,-3.10,0.15,-2.95,94.4,96.8,-2.4,125.1,.308,,.483,.436,,,.226,,,,
1969/1970,Detroit Pistons,26.2,31,51,33,49,-3.32,0.37,-2.94,100.1,103.1,-3.0,111.6,.376,,.518,.466,,,.276,,,,
1969/1970,San Francisco Warriors,26.7,30,52,30,52,-4.41,0.26,-4.15,94.8,98.6,-3.8,116.3,.322,,.485,.432,,,.244,,,,
1979/1980,Boston Celtics,27.3,61,21,60,22,7.79,-0.42,7.37,109.4,101.9,+7.5,102.6,.332,.057,.550,.501,15.4,34.8,.258,.475,16.5,67.8,.234
1979/1980,Los Angeles Lakers,26.2,60,22,55,27,5.90,-0.51,5.40,109.5,103.9,+5.6,104.1,.284,.014,.569,.530,16.5,32.6,.220,.475,14.0,66.9,.181
1979/1980,Seattle SuperSonics,27.0,56,26,53,29,4.66,-0.42,4.24,105.8,101.2,+4.6,101.8,.298,.025,.520,.474,14.9,36.4,.229,.463,15.4,67.9,.221
1979/1980,Philadelphia 76ers,27.0,59,23,52,30,4.22,-0.18,4.04,105.0,101.0,+4.0,103.0,.340,.017,.544,.494,17.2,33.5,.262,.460,15.5,66.7,.217
1979/1980,Milwaukee Bucks,25.3,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,+3.9,102.4,.278,.021,.532,.491,15.0,35.2,.212,.467,16.2,63.8,.229
1979/1980,Phoenix Suns,26.5,55,27,50,32,3.60,-0.35,3.25,105.6,102.2,+3.4,104.8,.341,.039,.548,.498,16.4,30.4,.263,.483,16.5,66.9,.213
1979/1980,Kansas City Kings,25.5,47,35,49,33,3.13,-0.32,2.82,104.0,101.0,+3.0,103.2,.300,.015,.522,.480,14.5,31.0,.223,.479,17.9,68.1,.273
1979/1980,Atlanta Hawks,26.1,50,32,49,33,2.91,-0.09,2.83,105.2,102.3,+2.9,98.9,.376,.011,.523,.465,15.4,36.9,.290,.461,17.1,65.6,.291
1979/1980,Cleveland Cavaliers,27.4,37,45,42,40,0.34,0.09,0.43,106.7,106.4,+0.3,105.6,.274,.023,.519,.476,13.2,33.1,.212,.505,16.3,65.9,.216
1979/1980,Houston Rockets,27.3,41,41,41,41,0.17,0.10,0.27,108.1,108.0,+0.1,101.2,.310,.051,.533,.487,15.5,37.6,.238,.499,16.1,63.2,.230
1979/1980,San Antonio Spurs,26.9,41,41,40,42,-0.38,0.13,-0.24,108.6,109.0,-0.4,109.5,.327,.027,.553,.502,15.2,31.8,.262,.506,14.4,66.8,.216
1979/1980,Indiana Pacers,25.3,37,45,39,43,-0.70,0.16,-0.54,105.5,106.2,-0.7,104.4,.303,.041,.523,.479,14.8,35.4,.228,.493,17.0,62.5,.230
1979/1980,Portland Trail Blazers,26.3,38,44,39,43,-0.82,-0.05,-0.87,103.4,104.3,-0.9,98.6,.293,.018,.519,.477,16.1,35.5,.218,.482,15.3,67.9,.245
1979/1980,New Jersey Nets,26.1,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,106.1,.321,.040,.518,.466,16.6,32.1,.251,.472,16.5,66.4,.263
1979/1980,New York Knicks,24.1,39,43,38,44,-1.15,0.19,-0.96,106.5,107.5,-1.0,106.5,.296,.025,.539,.498,15.7,33.7,.221,.498,16.4,64.0,.263
1979/1980,Washington Bullets,29.0,39,43,34,48,-2.55,0.28,-2.27,103.2,105.7,-2.5,102.6,.263,.031,.504,.463,13.7,33.3,.199,.469,12.3,69.5,.218
1979/1980,Chicago Bulls,25.9,30,52,34,48,-2.71,0.08,-2.63,104.3,107.0,-2.7,101.8,.373,.040,.545,.489,17.2,32.2,.291,.500,15.7,68.0,.251
1979/1980,San Diego Clippers,27.6,35,47,30,52,-4.15,0.18,-3.97,105.7,109.8,-4.1,101.4,.289,.072,.522,.482,14.6,34.2,.213,.503,14.2,65.4,.215
