Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,attendance,attendance_per_g
1949/1950,New York Knicks,,40,28,40,28,2.12,0.41,2.53,,,,,.449,,.428,.353,,,.320,,,,,,
1949/1950,Washington Capitols,,32,36,31,37,-0.94,0.66,-0.28,,,,,.384,,.405,.330,,,.287,,,,,,
1949/1950,Waterloo Hawks,,19,43,17,45,-5.53,-0.43,-5.96,,,,,.408,,.425,.356,,,.291,,,,,,
1949/1950,Tri-Cities Blackhawks,,29,35,30,34,-0.59,-0.84,-1.43,,,,,.418,,.407,.330,,,.304,,,,,,
1949/1950,Syracuse Nationals,,51,13,51,13,8.14,-1.70,6.48,,,,,.454,,.429,.354,,,.321,,,,,,
1949/1950,St. Louis Bombers,,26,42,25,43,-2.82,0.81,-2.01,,,,,.423,,.415,.342,,,.300,,,,,,
1949/1950,Sheboygan Red Skins,,22,40,18,44,-5.40,-0.44,-5.85,,,,,.466,,.422,.344,,,.329,,,,,,
1949/1950,Rochester Royals,,51,17,54,14,7.76,-0.05,7.72,,,,,.442,,.447,.373,,,.322,,,,,,
1949/1950,Philadelphia Warriors,,26,42,24,44,-3.10,0.84,-2.27,,,,,.357,,.377,.312,,,.250,,,,,,
1949/1950,Anderson Packers,,37,27,42,22,3.80,-1.38,2.42,,,,,.375,,.384,.311,,,.272,,,,,,
1949/1950,Minneapolis Lakers,,51,17,55,13,8.34,-0.09,8.25,,,,,.333,,.427,.367,,,.247,,,,,,
1949/1950,Indianapolis Olympians,,39,25,42,22,3.70,-1.15,2.59,,,,,.406,,.441,.375,,,.289,,,,,,
1949/1950,Fort Wayne Pistons,,40,28,38,30,1.37,0.47,1.84,,,,,.395,,.389,.318,,,.277,,,,,,
1949/1950,Denver Nuggets,,11,51,8,54,-11.50,0.18,-11.31,,,,,.386,,.397,.334,,,.261,,,,,,
1949/1950,Chicago Stags,,40,28,39,29,1.60,0.45,2.06,,,,,.328,,.397,.340,,,.228,,,,,,
1949/1950,Boston Celtics,,22,46,27,41,-2.50,0.79,-1.73,,,,,.376,,.404,.338,,,.266,,,,,"110,552",
1949/1950,Baltimore Bullets,,25,43,18,50,-5.59,1.04,-4.55,,,,,.385,,.385,.310,,,.281,,,,,,
1950/1951,Minneapolis Lakers,,44,24,49,19,5.41,-0.63,4.79,86.4,80.7,+5.7,94.8,.356,,.436,.373,,,.262,,,,,,
1950/1951,Philadelphia Warriors,,40,26,43,23,3.76,-0.36,3.40,84.8,81.0,+3.8,99.3,.385,,.425,.350,,,.294,,,,,,
1950/1951,Rochester Royals,,41,27,42,26,2.99,-0.44,2.54,89.3,86.2,+3.1,92.3,.418,,.452,.378,,,.315,,,,,,
1950/1951,Syracuse Nationals,,32,34,34,32,0.53,0.09,0.62,86.4,85.9,+0.5,98.1,.491,,.435,.351,,,.356,,,,,,
1950/1951,New York Knicks,,36,30,34,32,0.41,0.07,0.49,88.0,87.6,+0.4,94.8,.415,,.445,.379,,,.296,,,,,,
1950/1951,Boston Celtics,,39,30,34,35,-0.26,-0.15,-0.41,87.3,87.6,-0.3,95.9,.431,,.441,.368,,,.312,,,,,"197,888",
1950/1951,Fort Wayne Pistons,,32,36,29,39,-1.87,0.07,-1.81,82.0,83.8,-1.8,102.4,.403,,.410,.338,,,.290,,,,,,
1950/1951,Baltimore Bullets,,24,42,27,39,-2.29,0.35,-1.94,83.9,86.3,-2.4,96.8,.364,,.421,.353,,,.271,,,,,,
1950/1951,Indianapolis Olympians,,31,37,27,41,-2.37,0.37,-2.00,83.6,86.0,-2.4,96.4,.329,,.420,.363,,,.236,,,,,,
1950/1951,Tri-Cities Blackhawks,,25,43,24,44,-3.79,0.56,-3.22,80.8,84.4,-3.6,103.9,.401,,.403,.329,,,.290,,,,,,
1950/1951,Washington Capitols,,10,25,11,24,-4.77,0.14,-4.63,83.2,88.1,-4.9,97.1,.413,,.416,.334,,,.316,,,,,,
